turbine,variable,count,mean,std,min,25%,50%,75%,max,range
No.14WT,5,686.0,201.14330477407435,215.40221856913823,0.021912539,0.021912539,0.032577038,427.93775937500004,1021.722295,1021.700382461
No.14WT,6,686.0,59.39569095814869,17.52507623775445,41.09803391,42.19813919,62.978668215,76.5730819725,88.99421692,47.89618301
No.14WT,7,686.0,59.24228565879009,17.58512434105441,40.99573898,41.99568939,62.769577025000004,76.3734893825,89.271492,48.275753019999996
No.14WT,8,686.0,59.31566981260933,17.490491466309496,41.14894104,42.12090302,62.604082105,76.3709297175,89.29853821,48.14959717000001
No.14WT,9,685.0,24832225.899270073,1206705.9103741054,23574057.0,23574227.0,25987527.0,25987527.0,25990129.0,2416072.0
No.14WT,10,686.0,203.8452052049563,219.20316069281958,0.0,0.0,0.0,433.0461731,1256.034129,1256.034129
No.14WT,11,686.0,722.7728372532157,953.5228510618309,-19.69744492,5.298835397,23.886548995,1464.466583,17052.87489,17072.572334919998
No.14WT,12,686.0,862.7551020408164,849.8783879144146,0.0,50.0,50.0,1750.0,1750.0,1750.0
No.14WT,13,686.0,46.23661144180174,44.415620353050066,0.010393679,0.010393679,88.98946381,88.98946381,88.98963928,88.979245601
No.14WT,14,686.0,-0.26401233708454813,2.9453099372295926,-6.0,-1.0,0.0,0.0,68.0,74.0
No.14WT,15,686.0,847.7623906705539,32.41497062623547,0.0,849.0,849.0,849.0,849.0,849.0
No.14WT,16,686.0,101.53955917112974,97.20965422754452,3.306725264,9.745031357,13.27594185,204.64390945,204.6947021,201.387976836
No.14WT,17,686.0,24.520897006451897,12.969184796539142,2.299302276,11.09989738,35.19880295,36.5930566775,40.53183746,38.232535184
No.14WT,18,686.0,686.9233891169097,26.08603757579179,13.4752683,684.9678955,686.4661255,691.8594971,696.6536865,683.1784182
No.14WT,19,686.0,49.94386539987172,1.9103020984415549,0.001658082,49.95000076,50.04000092,50.04999924,50.09000015,50.088342068
No.14WT,20,686.0,27.251321789129737,9.121869517925095,0.100579793,17.80043602,35.70035553,35.8743276575,36.60040283,36.499823037
No.14WT,21,686.0,32.135009782348405,8.870190304418074,0.710903521,22.99964142,40.00029755,40.30031967,42.30041885,41.589515329
No.14WT,22,686.0,22.576131817737608,11.12761540383767,0.279567918,11.09999275,32.79961777,32.99962616,34.99970627,34.720138352
No.14WT,23,686.0,2.0736010347638483,8.047262027901649,-21.25112915,-1.932861328,2.9893713,6.90026473975,80.96842751,102.21955666
No.14WT,24,686.0,6.966985271973762,1.1936277692425505,1.014768864,6.067776561,6.6614589695,7.86384916275,11.03058434,10.015815476
No.14WT,25,686.0,35.39803774584548,15.905563550341533,13.37893999,18.6477088925,45.740182875,50.23566532,57.79567719,44.4167372
No.14WT,26,686.0,63.852771550597666,6.0240850758289355,23.29833785,59.29957962,61.39467239,68.77598381,77.49461365,54.19627580000001
No.14WT,27,686.0,64.9839610819242,6.6808562791071,41.20697279,60.49631882,61.09631348,69.29164124,84.56595612,43.358983329999994
No.39WT,1,1405.0,-0.008709108980071175,0.042626028962947635,-0.191948175,-0.032103579,-0.010663788,0.010701193,0.191948175,0.38389635
No.39WT,2,1405.0,-0.010233899897508898,0.06662391028692839,-0.238556251,-0.053608082,-0.010721616,0.032164849,0.249399722,0.487955973
No.39WT,3,1405.0,28.64357531234164,2.0716675123201855,1.11649393,27.30026817,27.70029068,30.30015564,32.70027542,31.583781489999996
No.39WT,4,1405.0,31.591654089679718,2.20773926835862,3.08895047,30.34835815,30.80041504,32.50056458,36.65161133,33.56266086
No.39WT,5,1405.0,266.59561012760906,196.40792210336778,-0.018688774,-0.017801523,335.7704163,429.109436,516.9232788,516.941967574
No.39WT,6,1405.0,44.25609661602206,2.742928447540916,2.747294521,42.75312424,43.29814911,45.99982071,50.79981232,48.052517799
No.39WT,7,1405.0,44.21694346725837,2.8834449514580345,2.403582668,42.5366745,43.09566116,46.29818726,50.79822159,48.394638922
No.39WT,8,1405.0,44.25047824226833,2.6970513254349804,1.921056497,42.72288895,43.26784515,46.19896317,50.19900131,48.277944813
No.39WT,9,1405.0,22361582.96487082,1792517.3216410703,423.6435041,19991061.0,23574305.0,23574705.0,23575045.0,23574621.3564959
No.39WT,10,1405.0,270.11674704740216,198.80871763931933,0.0,0.0,341.4618225,434.3824158,523.1901855,523.1901855
No.39WT,11,1405.0,962.6208765097965,660.0992893184746,0.010615269,44.55364227,1351.744019,1465.503174,1555.433105,1555.422489731
No.39WT,12,1405.0,1181.2811387900356,802.4347272006028,0.0,50.0,1750.0,1750.0,1750.0,1750.0
No.39WT,13,1405.0,29.710802696185056,41.97289711285006,0.009539475,0.010393679,0.010393679,88.99097443,88.99097443,88.981434955
No.39WT,14,1405.0,-0.5224184112483985,1.3889434189094587,-6.0,-1.0,0.0,0.0,4.0,10.0
No.39WT,15,1405.0,568.3148231113687,396.03280947977873,0.241120553,10.29989052,849.0,849.0,849.0,848.758879447
No.39WT,16,1405.0,240.0620550705082,39.36887459428447,3.465272264,204.6806946,219.8411865,294.631012,294.631012,291.165739736
No.39WT,17,1405.0,11.058537550964415,1.7700046313107265,0.962755573,9.899896622,10.79990101,12.38892365,14.49997711,13.537221536999999
No.39WT,18,1405.0,685.2222262334612,18.3548367673152,1.949660913,684.3686523,685.8668213,687.0653687,697.8522339,695.902572987
No.39WT,19,1405.0,49.962235297072596,1.334553394777629,0.000692427,49.95999908,50.0,50.04000092,50.08000183,50.079309403
No.39WT,20,1405.0,20.237778399781497,3.4660314095261215,0.240761483,17.80043602,17.90041161,24.59976768,25.89981651,25.659055027
No.39WT,21,1405.0,24.500102651636297,2.1170557583277536,0.201606909,23.09966087,23.14767075,27.00021362,28.10025597,27.898649061
No.39WT,22,1405.0,12.861248868544486,2.948042601629746,1.235559465,10.69999409,11.09999275,16.0999794,20.69997787,19.464418405
No.39WT,23,1405.0,3.943595730886833,4.817434931207683,-21.84039307,0.721802175,4.009283066,7.448071957,19.07095337,40.91134644
No.39WT,24,1405.0,6.883595546643416,1.393159375268879,0.936449422,5.87622118,6.297302723,7.933672905,10.47209644,9.535647017999999
No.39WT,25,1405.0,14.099224474747329,5.165329231100359,0.049013483,7.099740505,16.6946373,18.29469109,21.99471855,21.945705067000002
No.39WT,26,1405.0,63.9316598759573,7.21144109439927,11.514627,59.09968948,59.59950638,70.59722137,80.69753265,69.18290565
No.39WT,27,1405.0,63.84463405007829,7.200646640632194,49.37731727,59.39652252,60.59635544,65.89742279,88.29777527,38.920458
